id,price_doc
30474,5679549.50
30475,8389478.00
30476,5531763.50
30477,6254908.00
30478,5152119.50
30479,9601242.00
30480,4389102.50
30481,4298835.00
30482,4990550.50
30483,4948039.50
30484,6772011.00
30485,4946745.00
30486,3554685.00
30487,3923232.25
30488,6492927.00
30489,6298008.00
30490,22474790.00
30491,19507748.00
30492,5877183.50
30493,13602866.00
30494,6924705.50
30495,11106518.00
30496,8866156.00
30497,8157245.00
30498,4715625.50
30499,8096631.50
30500,11821954.00
30501,6771173.50
30502,3356428.00
30503,6618395.50
30504,5803746.00
30505,11455586.00
30506,3618260.75
30507,4794043.50
30508,5430796.00
30509,7763023.50
30510,9356512.00
30511,6638620.50
30512,6341112.00
30513,4332290.00
30514,3580220.25
30515,9829802.00
30516,6011574.50
30517,12136948.00
30518,8851392.00
30519,4614185.50
30520,7303960.50
30521,6267224.00
30522,7635898.00
30523,6526631.50
30524,10740288.00
30525,9154590.00
30526,5037820.00
30527,4974763.00
30528,7068613.00
30529,6670925.00
30530,6512116.00
30531,14368456.00
30532,4609140.00
30533,10308478.00
30534,7062524.00
30535,9600824.00
30536,5718798.00
30537,12104568.00
30538,5177611.00
30539,9622580.00
30540,9715088.00
30541,6196329.50
30542,2272960.00
30543,5719438.50
30544,6901503.50
30545,8746160.00
30546,4239502.50
30547,9973498.00
30548,4499925.50
30549,5269274.00
30550,12512100.00
30551,5240598.50
30552,1997483.12
30553,7033229.50
30554,10911790.00
30555,6385263.00
30556,9868948.00
30557,7727971.00
30558,9620892.00
30559,5839461.50
30560,6155639.00
30561,6962286.50
30562,12042068.00
30563,5327073.00
30564,7363121.50
30565,6659755.50
30566,7346605.50
30567,2142522.75
30568,10185862.00
30569,10521496.00
30570,6564588.50
30571,7207637.00
30572,5073310.50
30573,6855203.00
30574,6105294.00
30575,7693379.00
30576,4785361.00
30577,4260279.00
30578,3509329.00
30579,7126258.50
30580,4671537.00
30581,5427717.00
30582,12372468.00
30583,7119005.50
30584,4491799.00
30585,2310601.00
30586,9310130.00
30587,5984202.00
30588,8731902.00
30589,7472643.50
30590,13438196.00
30591,5414558.50
30592,6345568.50
30593,8001122.50
30594,7100643.50
30595,5880921.50
30596,6991679.00
30597,6855203.00
30598,9657116.00
30599,11699308.00
30600,5175835.00
30601,6508641.50
30602,1855668.38
30603,12297434.00
30604,4765087.00
30605,7047108.50
30606,20130588.00
30607,6761953.50
30608,8698794.00
30609,6339752.00
30610,3311621.25
30611,5536196.00
30612,7224595.50
30613,8447712.00
30614,18143008.00
30615,8103182.00
30616,5733339.00
30617,9548880.00
30618,4983935.50
30619,4497688.00
30620,2646872.00
30621,8930754.00
30622,8558816.00
30623,6298080.50
30624,6749800.00
30625,8277282.00
30626,6803504.00
30627,7335816.00
30628,6762265.00
30629,5239799.50
30630,4866238.00
30631,6180301.00
30632,4306592.50
30633,6248946.00
30634,12057882.00
30635,9715088.00
30636,5446548.50
30637,9779708.00
30638,6055975.00
30639,7361808.00
30640,4672665.00
30641,7999840.50
30642,6527505.50
30643,7813471.00
30644,9657116.00
30645,7245460.00
30646,5317698.50
30647,4711600.50
30648,25227718.00
30649,2270057.25
30650,5077107.50
30651,3765314.25
30652,4408489.00
30653,7609037.00
30654,4657788.00
30655,13158270.00
30656,3973118.75
30657,6377642.50
30658,11060844.00
30659,4768008.00
30660,8848518.00
30661,6898484.50
30662,8398888.00
30663,17008242.00
30664,12349818.00
30665,6262757.00
30666,2700164.00
30667,4059828.00
30668,9535280.00
30669,4614142.00
30670,2482663.50
30671,7434886.50
30672,15453650.00
30673,10147562.00
30674,12318802.00
30675,2272960.00
30676,6915436.50
30677,4453527.00
30678,21883614.00
30679,6017488.50
30680,5094107.00
30681,2545114.25
30682,8685612.00
30683,9708906.00
30684,4996772.00
30685,7824487.00
30686,9754756.00
30687,5045935.00
30688,4525649.00
30689,14287530.00
30690,25785148.00
30691,4517693.00
30692,6796735.50
30693,11493802.00
30694,5663280.00
30695,7411402.00
30696,6781190.00
30697,12420256.00
30698,7816000.00
30699,5892743.00
30700,5087605.00
30701,9657116.00
30702,6290365.00
30703,3914794.00
30704,11556554.00
30705,9348778.00
30706,22821198.00
30707,3418894.75
30708,14497294.00
30709,6155700.00
30710,8128472.50
30711,4871517.00
30712,4130410.75
30713,5899077.00
30714,7302207.50
30715,3955552.25
30716,9708906.00
30717,6667100.50
30718,8834970.00
30719,14137666.00
30720,7019040.00
30721,4902151.00
30722,7221132.50
30723,6353950.50
30724,11643464.00
30725,6973677.00
30726,12140062.00
30727,9845882.00
30728,12462992.00
30729,3746619.25
30730,6241568.00
30731,6426643.00
30732,4431674.50
30733,10248336.00
30734,7191655.50
30735,5605233.50
30736,4748589.50
30737,6348908.00
30738,5842503.00
30739,4820080.50
30740,7238353.00
30741,11170588.00
30742,4297236.00
30743,5053159.50
30744,9603694.00
30745,6959567.00
30746,5781657.50
30747,14715922.00
30748,17353872.00
30749,4653668.50
30750,6724152.00
30751,3554640.75
30752,7893448.50
30753,9952082.00
30754,5680818.50
30755,5435821.00
30756,6848574.50
30757,5462513.50
30758,9966890.00
30759,6235300.50
30760,5189627.50
30761,9222892.00
30762,7069741.00
30763,11894460.00
30764,6244610.00
30765,5955022.50
30766,3562306.50
30767,10193470.00
30768,4205169.00
30769,7411665.00
30770,6237341.00
30771,3160260.25
30772,8528352.00
30773,8378410.50
30774,5668270.00
30775,12579624.00
30776,5798710.50
30777,6423574.00
30778,9624472.00
30779,6613620.00
30780,7943697.50
30781,6866242.00
30782,5439817.00
30783,5744846.00
30784,3705642.50
30785,5440671.50
30786,4217008.00
30787,6535275.50
30788,5675715.50
30789,7642710.50
30790,6445915.50
30791,10271084.00
30792,7260482.50
30793,13170358.00
30794,13550144.00
30795,11724108.00
30796,11609472.00
30797,14777788.00
30798,2712281.75
30799,10410770.00
30800,14940778.00
30801,6259462.00
30802,18832082.00
30803,2645181.00
30804,3382595.75
30805,15373460.00
30806,7191655.50
30807,5982729.00
30808,10731994.00
30809,5137144.50
30810,11728898.00
30811,4212877.00
30812,5532874.00
30813,5431309.00
30814,2605973.25
30815,3955366.75
30816,8470118.00
30817,1891144.75
30818,7582414.00
30819,7603584.00
30820,5488474.00
30821,27743406.00
30822,8833024.00
30823,7099341.00
30824,3541884.50
30825,5504194.50
30826,10421282.00
30827,5540819.50
30828,5887736.50
30829,5545836.50
30830,8929146.00
30831,6555727.00
30832,6337079.50
30833,5149078.50
30834,4272513.00
30835,7816648.50
30836,6608758.50
30837,5239141.00
30838,4500124.50
30839,5986601.50
30840,11835932.00
30841,11408520.00
30842,7009353.50
30843,5580195.50
30844,7138241.50
30845,9062194.00
30846,4262683.50
30847,5972629.50
30848,8717890.00
30849,4322928.00
30850,4241772.00
30851,4763708.00
30852,6716104.50
30853,4437923.50
30854,5944074.50
30855,7934698.50
30856,8408114.00
30857,2371502.50
30858,4339075.00
30859,6096803.00
30860,5856424.50
30861,9176624.00
30862,6283488.00
30863,5913962.00
30864,6443973.00
30865,10311162.00
30866,7260320.50
30867,6241693.50
30868,8599102.00
30869,5532185.00
30870,5764625.50
30871,8407354.00
30872,4633180.00
30873,3667476.00
30874,4988855.00
30875,5956144.50
30876,4999944.00
30877,9868044.00
30878,5643624.00
30879,11630746.00
30880,6468773.50
30881,1862916.25
30882,10951612.00
30883,3681384.75
30884,5805131.00
30885,5251043.50
30886,7560813.50
30887,5658028.50
30888,4781968.00
30889,5348577.50
30890,7345726.50
30891,3331425.25
30892,3582338.50
30893,4389102.50
30894,5947865.00
30895,4214075.50
30896,5435228.00
30897,7820541.50
30898,6842088.50
30899,6740904.00
30900,3135403.25
30901,6666355.50
30902,2006820.62
30903,7051809.50
30904,7678804.00
30905,5775271.00
30906,6515549.00
30907,13175952.00
30908,4423756.50
30909,13113090.00
30910,7305662.00
30911,4187575.50
30912,6566350.00
30913,20406216.00
30914,5337288.00
30915,7425483.00
30916,5493066.00
30917,8414710.00
30918,6691198.00
30919,5262915.00
30920,4947433.50
30921,3744833.50
30922,5822790.00
30923,3331291.00
30924,5031032.50
30925,14212048.00
30926,5563128.00
30927,7709141.50
30928,4825655.50
30929,5031032.50
30930,10408148.00
30931,11214448.00
30932,5210452.50
30933,4747248.50
30934,14079966.00
30935,6765340.50
30936,7098717.50
30937,9063552.00
30938,4635839.00
30939,9135224.00
30940,6693568.00
30941,6156376.50
30942,3283722.50
30943,6770292.00
30944,5142475.00
30945,3842512.00
30946,12909930.00
30947,7001882.50
